Average Duration of Illness d
0	2
Contact Rate c
0	0
1	0
2	0.004
3	0.008
4	0.012
5	0.016
6	0.02
7	0.024
8	0.028
9	0.032
10	0.036
11	0.04
12	0.044
13	0.048
14	0.052
15	0.056
16	0.06
17	0.064
18	0.068
19	0.072
20	0.076
21	0.08
22	0.084
23	0.088
24	0.092
25	0.096
26	0.1
27	0.104
28	0.108
29	0.112
30	0.116
31	0.12
32	0.124
33	0.128
34	0.132
35	0.136
36	0.14
37	0.144
38	0.148
39	0.152
40	0.156
41	0.16
42	0.164
43	0.168
44	0.172
45	0.176
46	0.18
47	0.184
48	0.188
49	0.192
50	0.196
51	0.2
52	0.204
53	0.208
54	0.212
55	0.216
56	0.22
57	0.224
58	0.228
59	0.232
60	0.236
61	0.24
62	0.244
63	0.248
64	0.252
65	0.256
66	0.26
67	0.264
68	0.268
69	0.272
70	0.276
71	0.28
72	0.284
73	0.288
74	0.292
75	0.296
76	0.3
77	0.304
78	0.308
79	0.312
80	0.316
81	0.32
82	0.324
83	0.328
84	0.332
85	0.336
86	0.34
87	0.344
88	0.348
89	0.352
90	0.356
91	0.36
92	0.364
93	0.368
94	0.372
95	0.376
96	0.38
97	0.384
98	0.388
99	0.392
100	0.396
101	0.4
102	0.404
103	0.408
104	0.412
105	0.416
106	0.42
107	0.424
108	0.428
109	0.432
110	0.436
111	0.44
112	0.444
113	0.448
114	0.452
115	0.456
116	0.46
117	0.464
118	0.468
119	0.472
120	0.476
121	0.48
122	0.484
123	0.488
124	0.492
125	0.496
126	0.5
127	0.504
128	0.508
129	0.512
130	0.516
131	0.52
132	0.524
133	0.528
134	0.532
135	0.536
136	0.54
137	0.544
138	0.548
139	0.552
140	0.556
141	0.56
142	0.564
143	0.568
144	0.572
145	0.576
146	0.58
147	0.584
148	0.588
149	0.592
150	0.596
151	0.6
152	0.604
153	0.608
154	0.612
155	0.616
156	0.62
157	0.624
158	0.628
159	0.632
160	0.636
161	0.64
162	0.644
163	0.648
164	0.652
165	0.656
166	0.66
167	0.664
168	0.668
169	0.672
170	0.676
171	0.68
172	0.684
173	0.688
174	0.692
175	0.696
176	0.7
177	0.704
178	0.708
179	0.712
180	0.716
181	0.72
182	0.724
183	0.728
184	0.732
185	0.736
186	0.74
187	0.744
188	0.748
189	0.752
190	0.756
191	0.76
192	0.764
193	0.768
194	0.772
195	0.776
196	0.78
197	0.784
198	0.788
199	0.792
200	0.796
201	0.8
202	0.804
203	0.808
204	0.812
205	0.816
206	0.82
207	0.824
208	0.828
209	0.832
210	0.836
211	0.84
212	0.844
213	0.848
214	0.852
215	0.856
216	0.86
217	0.864
218	0.868
219	0.872
220	0.876
221	0.88
222	0.884
223	0.888
224	0.892
225	0.896
226	0.9
227	0.904
228	0.908
229	0.912
230	0.916
231	0.92
232	0.924
233	0.928
234	0.932
235	0.936
236	0.94
237	0.944
238	0.948
239	0.952
240	0.956
241	0.96
242	0.964
243	0.968
244	0.972
245	0.976
246	0.98
247	0.984
248	0.988
249	0.992
250	0.996
251	1
252	1.004
253	1.008
254	1.012
255	1.016
256	1.02
257	1.024
258	1.028
259	1.032
260	1.036
261	1.04
262	1.044
263	1.048
264	1.052
265	1.056
266	1.06
267	1.064
268	1.068
269	1.072
270	1.076
271	1.08
272	1.084
273	1.088
274	1.092
275	1.096
276	1.1
277	1.104
278	1.108
279	1.112
280	1.116
281	1.12
282	1.124
283	1.128
284	1.132
285	1.136
286	1.14
287	1.144
288	1.148
289	1.152
290	1.156
291	1.16
292	1.164
293	1.168
294	1.172
295	1.176
296	1.18
297	1.184
298	1.188
299	1.192
300	1.196
301	1.2
302	1.204
303	1.208
304	1.212
305	1.216
306	1.22
307	1.224
308	1.228
309	1.232
310	1.236
311	1.24
312	1.244
313	1.248
314	1.252
315	1.256
316	1.26
317	1.264
318	1.268
319	1.272
320	1.276
321	1.28
322	1.284
323	1.288
324	1.292
325	1.296
326	1.3
327	1.304
328	1.308
329	1.312
330	1.316
331	1.32
332	1.324
333	1.328
334	1.332
335	1.336
336	1.34
337	1.344
338	1.348
339	1.352
340	1.356
341	1.36
342	1.364
343	1.368
344	1.372
345	1.376
346	1.38
347	1.384
348	1.388
349	1.392
350	1.396
351	1.4
352	1.404
353	1.408
354	1.412
355	1.416
356	1.42
357	1.424
358	1.428
359	1.432
360	1.436
361	1.44
362	1.444
363	1.448
364	1.452
365	1.456
366	1.46
367	1.464
368	1.468
369	1.472
370	1.476
371	1.48
372	1.484
373	1.488
374	1.492
375	1.496
376	1.5
377	1.504
378	1.508
379	1.512
380	1.516
381	1.52
382	1.524
383	1.528
384	1.532
385	1.536
386	1.54
387	1.544
388	1.548
389	1.552
390	1.556
391	1.56
392	1.564
393	1.568
394	1.572
395	1.576
396	1.58
397	1.584
398	1.588
399	1.592
400	1.596
401	1.6
402	1.604
403	1.608
404	1.612
405	1.616
406	1.62
407	1.624
408	1.628
409	1.632
410	1.636
411	1.64
412	1.644
413	1.648
414	1.652
415	1.656
416	1.66
417	1.664
418	1.668
419	1.672
420	1.676
421	1.68
422	1.684
423	1.688
424	1.692
425	1.696
426	1.7
427	1.704
428	1.708
429	1.712
430	1.716
431	1.72
432	1.724
433	1.728
434	1.732
435	1.736
436	1.74
437	1.744
438	1.748
439	1.752
440	1.756
441	1.76
442	1.764
443	1.768
444	1.772
445	1.776
446	1.78
447	1.784
448	1.788
449	1.792
450	1.796
451	1.8
452	1.804
453	1.808
454	1.812
455	1.816
456	1.82
457	1.824
458	1.828
459	1.832
460	1.836
461	1.84
462	1.844
463	1.848
464	1.852
465	1.856
466	1.86
467	1.864
468	1.868
469	1.872
470	1.876
471	1.88
472	1.884
473	1.888
474	1.892
475	1.896
476	1.9
477	1.904
478	1.908
479	1.912
480	1.916
481	1.92
482	1.924
483	1.928
484	1.932
485	1.936
486	1.94
487	1.944
488	1.948
489	1.952
490	1.956
491	1.96
492	1.964
493	1.968
494	1.972
495	1.976
496	1.98
497	1.984
498	1.988
499	1.992
500	1.996
501	2
502	2.004
503	2.008
504	2.012
505	2.016
506	2.02
507	2.024
508	2.028
509	2.032
510	2.036
511	2.04
512	2.044
513	2.048
514	2.052
515	2.056
516	2.06
517	2.064
518	2.068
519	2.072
520	2.076
521	2.08
522	2.084
523	2.088
524	2.092
525	2.096
526	2.1
527	2.104
528	2.108
529	2.112
530	2.116
531	2.12
532	2.124
533	2.128
534	2.132
535	2.136
536	2.14
537	2.144
538	2.148
539	2.152
540	2.156
541	2.16
542	2.164
543	2.168
544	2.172
545	2.176
546	2.18
547	2.184
548	2.188
549	2.192
550	2.196
551	2.2
552	2.204
553	2.208
554	2.212
555	2.216
556	2.22
557	2.224
558	2.228
559	2.232
560	2.236
561	2.24
562	2.244
563	2.248
564	2.252
565	2.256
566	2.26
567	2.264
568	2.268
569	2.272
570	2.276
571	2.28
572	2.284
573	2.288
574	2.292
575	2.296
576	2.3
577	2.304
578	2.308
579	2.312
580	2.316
581	2.32
582	2.324
583	2.328
584	2.332
585	2.336
586	2.34
587	2.344
588	2.348
589	2.352
590	2.356
591	2.36
592	2.364
593	2.368
594	2.372
595	2.376
596	2.38
597	2.384
598	2.388
599	2.392
600	2.396
601	2.4
602	2.404
603	2.408
604	2.412
605	2.416
606	2.42
607	2.424
608	2.428
609	2.432
610	2.436
611	2.44
612	2.444
613	2.448
614	2.452
615	2.456
616	2.46
617	2.464
