d1
0	10
1	10
2	10
3	10
4	10
5	8.14506
6	6.6342
7	5.4036
8	4.40127
9	3.58486
10	2.91989
d10
0	420
1	420
2	420
3	420
4	420
5	414.968
6	375.811
7	309.044
8	235.779
9	170.056
10	117.528
d11[A1]
0	420
1	420
2	420
3	420
4	420
5	109.922
6	1.77521
7	0.0157964
8	0.000110404
9	6.765e-07
10	3.8154e-09
d11[A2]
0	420
1	420
2	420
3	420
4	420
5	356.323
6	155.289
7	47.6888
8	12.2493
9	2.82797
10	0.608359
d11[A3]
0	420
1	420
2	420
3	420
4	420
5	398.672
6	284.988
7	164.084
8	82.7866
9	38.3294
10	16.7165
d12[A2]
0	0
1	10.0642
2	88.3787
3	221.913
4	368.441
5	499.887
6	604.945
7	682.856
8	737.683
9	774.795
10	799.177
d12[A3]
0	0
1	15.0964
2	132.568
3	332.869
4	552.662
5	749.831
6	907.417
7	1024.28
8	1106.52
9	1162.19
10	1198.77
d2[A1]
0	0
1	1.85494
2	3.3658
3	4.5964
4	5.59873
5	6.41514
6	7.08011
7	7.62173
8	8.06289
9	8.42221
10	8.71488
d2[A2]
0	0
1	3.70987
2	6.73159
3	9.1928
4	11.1975
5	12.8303
6	14.1602
7	15.2435
8	16.1258
9	16.8444
10	17.4298
d2[A3]
0	0
1	5.56481
2	10.0974
3	13.7892
4	16.7962
5	19.2454
6	21.2403
7	22.8652
8	24.1887
9	25.2666
10	26.1446
d3[A1]
0	0
1	6.83594
2	8.99887
3	9.68324
4	9.89977
5	3.13235
6	0.991095
7	0.313589
8	0.0992214
9	0.0313943
10	0.00993335
d3[A2]
0	0
1	4.13818
2	6.56391
3	7.98583
4	8.81933
5	5.16973
6	3.0304
7	1.77636
8	1.04127
9	0.610375
10	0.357791
d3[A3]
0	0
1	2.93933
2	5.0147
3	6.48004
4	7.51468
5	5.30586
6	3.74629
7	2.64513
8	1.86764
9	1.31868
10	0.931075
d4[A1]
0	0
1	1.85494
2	3.3658
3	4.5964
4	5.59873
5	4.5602
6	3.71431
7	3.02533
8	2.46415
9	2.00707
10	1.63477
d4[A2]
0	0
1	1.85494
2	3.3658
3	4.5964
4	5.59873
5	4.5602
6	3.71431
7	3.02533
8	2.46415
9	2.00707
10	1.63477
d4[A3]
0	0
1	1.85494
2	3.3658
3	4.5964
4	5.59873
5	4.5602
6	3.71431
7	3.02533
8	2.46415
9	2.00707
10	1.63477
d5[A1]
0	0
1	6.83594
2	8.99887
3	9.68324
4	9.89977
5	9.96829
6	9.98997
7	9.99683
8	9.999
9	9.99968
10	9.9999
d5[A2]
0	0
1	8.27637
2	13.1278
3	15.9717
4	17.6387
5	18.6158
6	19.1886
7	19.5244
8	19.7212
9	19.8366
10	19.9042
d5[A3]
0	0
1	8.818
2	15.0441
3	19.4401
4	22.544
5	24.7356
6	26.283
7	27.3755
8	28.1469
9	28.6916
10	29.0762
d6[A2]
0	0
1	3.70987
2	6.73159
3	9.1928
4	11.1975
5	12.8303
6	14.1602
7	15.2435
8	16.1258
9	16.8444
10	17.4298
d6[A3]
0	0
1	5.56481
2	10.0974
3	13.7892
4	16.7962
5	19.2454
6	21.2403
7	22.8652
8	24.1887
9	25.2666
10	26.1446
d7
0	10
1	10
2	10
3	10
4	10
5	9.88019
6	8.94787
7	7.35818
8	5.61379
9	4.04896
10	2.79828
d8[A1]
0	10
1	10
2	10
3	10
4	10
5	2.61719
6	0.0422668
7	0.000376105
8	2.62866e-06
9	1.61072e-08
10	9.08429e-11
d8[A2]
0	10
1	10
2	10
3	10
4	10
5	8.48389
6	3.69735
7	1.13545
8	0.29165
9	0.0673325
10	0.0144847
d8[A3]
0	10
1	10
2	10
3	10
4	10
5	9.49219
6	6.78543
7	3.90675
8	1.97111
9	0.912604
10	0.398012
d9[A2]
0	0
1	0.239625
2	2.10426
3	5.28364
4	8.77241
5	11.9021
6	14.4034
7	16.2585
8	17.5639
9	18.4475
10	19.028
d9[A3]
0	0
1	0.359437
2	3.15638
3	7.92546
4	13.1586
5	17.8531
6	21.6052
7	24.3877
8	26.3458
9	27.6713
10	28.542
delay
0	5
delay 2
0	5
delay a[A1]
0	1
delay a[A2]
0	2
delay a[A3]
0	3
FINAL TIME
0	10
init 1
0	0
init 2[A2]
0	0
init 2[A3]
0	0
init a[A1]
0	0
init a[A2]
0	0
init a[A3]
0	0
INITIAL TIME
0	0
input
0	10
1	10
2	10
3	10
4	0
5	0
6	0
7	0
8	0
9	0
10	0
input 2[A2]
0	20
input 2[A3]
0	30
input a[A1]
0	10
input a[A2]
0	20
input a[A3]
0	30
k
0	42
SAVEPER
0	1
TIME STEP
0	0.25
