demand[fixed,Boston]
0	3
demand[fixed,Dayton]
0	2
demand[fixed,Fresno]
0	4
demand[rectangular,Boston]
0	3
demand[rectangular,Dayton]
0	2
demand[rectangular,Fresno]
0	4
demand[triangular,Boston]
0	3
demand[triangular,Dayton]
0	2
demand[triangular,Fresno]
0	4
demand[normal,Boston]
0	3
demand[normal,Dayton]
0	2
demand[normal,Fresno]
0	4
demand[exponential,Boston]
0	3
demand[exponential,Dayton]
0	2
demand[exponential,Fresno]
0	4
FINAL TIME
0	12
INITIAL TIME
0	0
priority vector[fixed,Boston,ptype]
0	0
priority vector[fixed,Boston,ppriority]
0	1
priority vector[fixed,Boston,pwidth]
0	1
priority vector[fixed,Boston,pextra]
0	0
priority vector[fixed,Dayton,ptype]
0	0
priority vector[fixed,Dayton,ppriority]
0	2
priority vector[fixed,Dayton,pwidth]
0	1
priority vector[fixed,Dayton,pextra]
0	0
priority vector[fixed,Fresno,ptype]
0	0
priority vector[fixed,Fresno,ppriority]
0	3
priority vector[fixed,Fresno,pwidth]
0	1
priority vector[fixed,Fresno,pextra]
0	0
priority vector[rectangular,Boston,ptype]
0	1
priority vector[rectangular,Boston,ppriority]
0	1
priority vector[rectangular,Boston,pwidth]
0	1
priority vector[rectangular,Boston,pextra]
0	0
priority vector[rectangular,Dayton,ptype]
0	1
priority vector[rectangular,Dayton,ppriority]
0	2
priority vector[rectangular,Dayton,pwidth]
0	1
priority vector[rectangular,Dayton,pextra]
0	0
priority vector[rectangular,Fresno,ptype]
0	1
priority vector[rectangular,Fresno,ppriority]
0	3
priority vector[rectangular,Fresno,pwidth]
0	1
priority vector[rectangular,Fresno,pextra]
0	0
priority vector[triangular,Boston,ptype]
0	2
priority vector[triangular,Boston,ppriority]
0	1
priority vector[triangular,Boston,pwidth]
0	1
priority vector[triangular,Boston,pextra]
0	0
priority vector[triangular,Dayton,ptype]
0	2
priority vector[triangular,Dayton,ppriority]
0	2
priority vector[triangular,Dayton,pwidth]
0	1
priority vector[triangular,Dayton,pextra]
0	0
priority vector[triangular,Fresno,ptype]
0	2
priority vector[triangular,Fresno,ppriority]
0	3
priority vector[triangular,Fresno,pwidth]
0	1
priority vector[triangular,Fresno,pextra]
0	0
priority vector[normal,Boston,ptype]
0	3
priority vector[normal,Boston,ppriority]
0	1
priority vector[normal,Boston,pwidth]
0	1
priority vector[normal,Boston,pextra]
0	0
priority vector[normal,Dayton,ptype]
0	3
priority vector[normal,Dayton,ppriority]
0	2
priority vector[normal,Dayton,pwidth]
0	1
priority vector[normal,Dayton,pextra]
0	0
priority vector[normal,Fresno,ptype]
0	3
priority vector[normal,Fresno,ppriority]
0	3
priority vector[normal,Fresno,pwidth]
0	1
priority vector[normal,Fresno,pextra]
0	0
priority vector[exponential,Boston,ptype]
0	4
priority vector[exponential,Boston,ppriority]
0	1
priority vector[exponential,Boston,pwidth]
0	1
priority vector[exponential,Boston,pextra]
0	0
priority vector[exponential,Dayton,ptype]
0	4
priority vector[exponential,Dayton,ppriority]
0	2
priority vector[exponential,Dayton,pwidth]
0	1
priority vector[exponential,Dayton,pextra]
0	0
priority vector[exponential,Fresno,ptype]
0	4
priority vector[exponential,Fresno,ppriority]
0	3
priority vector[exponential,Fresno,pwidth]
0	1
priority vector[exponential,Fresno,pextra]
0	0
SAVEPER
0	0.125
0.125	0.125
0.25	0.125
0.375	0.125
0.5	0.125
0.625	0.125
0.75	0.125
0.875	0.125
1	0.125
1.125	0.125
1.25	0.125
1.375	0.125
1.5	0.125
1.625	0.125
1.75	0.125
1.875	0.125
2	0.125
2.125	0.125
2.25	0.125
2.375	0.125
2.5	0.125
2.625	0.125
2.75	0.125
2.875	0.125
3	0.125
3.125	0.125
3.25	0.125
3.375	0.125
3.5	0.125
3.625	0.125
3.75	0.125
3.875	0.125
4	0.125
4.125	0.125
4.25	0.125
4.375	0.125
4.5	0.125
4.625	0.125
4.75	0.125
4.875	0.125
5	0.125
5.125	0.125
5.25	0.125
5.375	0.125
5.5	0.125
5.625	0.125
5.75	0.125
5.875	0.125
6	0.125
6.125	0.125
6.25	0.125
6.375	0.125
6.5	0.125
6.625	0.125
6.75	0.125
6.875	0.125
7	0.125
7.125	0.125
7.25	0.125
7.375	0.125
7.5	0.125
7.625	0.125
7.75	0.125
7.875	0.125
8	0.125
8.125	0.125
8.25	0.125
8.375	0.125
8.5	0.125
8.625	0.125
8.75	0.125
8.875	0.125
9	0.125
9.125	0.125
9.25	0.125
9.375	0.125
9.5	0.125
9.625	0.125
9.75	0.125
9.875	0.125
10	0.125
10.125	0.125
10.25	0.125
10.375	0.125
10.5	0.125
10.625	0.125
10.75	0.125
10.875	0.125
11	0.125
11.125	0.125
11.25	0.125
11.375	0.125
11.5	0.125
11.625	0.125
11.75	0.125
11.875	0.125
12	0.125
shipments[fixed,Boston]
0	0
0.125	0.0347222
0.25	0.0694444
