amount demanded[fixed,d1]
0	0
0.125	5.20833
0.25	10.4167
0.375	15.625
0.5	20.8333
0.625	26.0417
0.75	31.25
0.875	36.4583
1	41.6667
1.125	46.875
1.25	52.0833
1.375	57.2917
1.5	62.5
1.625	67.7083
1.75	72.9167
1.875	78.125
2	83.3333
2.125	88.5417
2.25	93.75
2.375	98.9583
2.5	104.167
2.625	109.375
2.75	114.583
2.875	119.792
3	125
3.125	130.208
3.25	135.417
3.375	140.625
3.5	145.833
3.625	151.042
3.75	156.25
3.875	161.458
4	166.667
4.125	171.875
4.25	177.083
4.375	182.292
4.5	187.5
4.625	192.708
4.75	197.917
4.875	203.125
5	208.333
5.125	213.542
5.25	218.75
5.375	223.958
5.5	229.167
5.625	234.375
5.75	239.583
5.875	244.792
6	250
6.125	255.208
6.25	260.417
6.375	265.625
6.5	270.833
6.625	276.042
6.75	281.25
6.875	286.458
7	291.667
7.125	296.875
7.25	302.083
7.375	307.292
7.5	312.5
7.625	317.708
7.75	322.917
7.875	328.125
8	333.333
8.125	338.542
8.25	343.75
8.375	348.958
8.5	354.167
8.625	359.375
8.75	364.583
8.875	369.792
9	375
9.125	380.208
9.25	385.417
9.375	390.625
9.5	395.833
9.625	401.042
9.75	406.25
9.875	411.458
10	416.667
10.125	421.875
10.25	427.083
10.375	432.292
10.5	437.5
10.625	442.708
10.75	447.917
10.875	453.125
11	458.333
11.125	463.542
11.25	468.75
11.375	473.958
11.5	479.167
11.625	484.375
11.75	489.583
11.875	494.792
12	500
amount demanded[fixed,d2]
0	0
0.125	3.125
0.25	6.25
0.375	9.375
0.5	12.5
0.625	15.625
0.75	18.75
0.875	21.875
1	25
1.125	28.125
1.25	31.25
1.375	34.375
1.5	37.5
1.625	40.625
1.75	43.75
1.875	46.875
2	50
2.125	53.125
2.25	56.25
2.375	59.375
2.5	62.5
2.625	65.625
2.75	68.75
2.875	71.875
3	75
3.125	78.125
3.25	81.25
3.375	84.375
3.5	87.5
3.625	90.625
3.75	93.75
3.875	96.875
4	100
4.125	103.125
4.25	106.25
4.375	109.375
4.5	112.5
4.625	115.625
4.75	118.75
4.875	121.875
5	125
5.125	128.125
5.25	131.25
5.375	134.375
5.5	137.5
5.625	140.625
5.75	143.75
5.875	146.875
6	150
6.125	153.125
6.25	156.25
6.375	159.375
6.5	162.5
6.625	165.625
6.75	168.75
6.875	171.875
7	175
7.125	178.125
7.25	181.25
7.375	184.375
7.5	187.5
7.625	190.625
7.75	193.75
7.875	196.875
8	200
8.125	203.125
8.25	206.25
8.375	209.375
8.5	212.5
8.625	215.625
8.75	218.75
8.875	221.875
9	225
9.125	228.125
9.25	231.25
9.375	234.375
9.5	237.5
9.625	240.625
9.75	243.75
9.875	246.875
10	250
10.125	253.125
10.25	256.25
10.375	259.375
10.5	262.5
10.625	265.625
10.75	268.75
10.875	271.875
11	275
11.125	278.125
11.25	281.25
11.375	284.375
11.5	287.5
11.625	290.625
11.75	293.75
11.875	296.875
12	300
amount demanded[rectangular,d1]
0	0
0.125	4.99683
0.25	9.59158
0.375	13.8134
0.5	17.6887
