" quotes 2 with extra whitespace "
0	1
Apple 1
0	1
Apple 2
0	1
apple 3
0	1
Banana 1
0	1
Banana 2
0	1
banana 3
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
carrot 1
0	1
carrot 2
0	1
Equation with backslashes[A1]
0	2
Equation with backslashes[A2]
0	1
Equation with backslashes[A3]
0	1
Equation without backslashes[A1]
0	2
Equation without backslashes[A2]
0	1
Equation without backslashes[A3]
0	1
FINAL TIME
0	10
INITIAL TIME
0	0
Quotes 1
0	1
"Quotes 3 with parentheses (1) lorem ipsum"
0	1
SAVEPER
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
TIME STEP
0	1
Using equation with backslashes[A1]
0	4
1	4
2	4
3	4
4	4
5	4
6	4
7	4
8	4
9	4
10	4
Using equation with backslashes[A2]
0	2
1	2
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	2
Using equation with backslashes[A3]
0	2
1	2
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	2
Using equation without backslashes[A1]
0	4
1	4
2	4
3	4
4	4
5	4
6	4
7	4
8	4
9	4
10	4
Using equation without backslashes[A2]
0	2
1	2
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	2
Using equation without backslashes[A3]
0	2
1	2
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	2
Using lookup
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
